seed,mode,scenario,requests,success_rate,user_facing_connect_failures,primary_connect_attempts,backup_selections,preemptive_failovers,warm_hits,recovery_probes_ok,recovery_probes_fail,background_prewarm_connects,physical_connects,mean_checkout_latency_sim_ms
4,predictive,morning-healthy,100,1.0000,2,10,90,88,88,1,2,87,12,2.900
4,predictive,bad-window,100,1.0000,1,0,100,99,99,0,4,99,1,0.200
4,predictive,evening-stable,80,1.0000,2,78,2,0,0,1,0,1,80,24.875
4,predictive,window-start,181,1.0000,0,55,126,122,122,0,0,121,59,8.039
4,predictive,reuse-off,1000,1.0000,6,994,6,0,0,0,0,0,1000,20.000
4,predictive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
4,predictive,pattern-shift-h14,90,1.0000,0,0,90,90,90,1,2,90,0,0.000
4,predictive,pattern-shift-h15,90,1.0000,1,0,90,89,89,0,3,89,1,0.222
5,reactive,morning-healthy,100,0.9900,17,84,15,0,0,0,0,0,99,24.400
5,reactive,bad-window,100,1.0000,79,21,79,0,0,0,0,0,100,21.050
5,reactive,evening-stable,80,1.0000,23,57,23,0,0,0,0,0,80,23.563
5,reactive,window-start,181,0.9890,1,61,118,0,0,0,0,0,179,21.906
5,reactive,reuse-off,1000,1.0000,12,988,12,0,0,0,0,0,1000,20.000
5,reactive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
5,reactive,pattern-shift-h14,90,1.0000,14,76,14,0,0,0,0,0,90,24.222
5,reactive,pattern-shift-h15,90,0.9889,76,15,74,0,0,0,0,0,89,21.056
5,circuit_breaker,morning-healthy,100,0.9900,3,0,100,0,0,0,0,0,99,20.200
5,circuit_breaker,bad-window,100,0.9900,3,0,100,0,0,0,0,0,99,20.200
5,circuit_breaker,evening-stable,80,0.9875,7,28,52,0,0,0,0,0,79,22.000
5,circuit_breaker,window-start,181,0.9890,1,0,181,0,0,0,0,0,179,20.221
5,circuit_breaker,reuse-off,1000,1.0000,12,988,12,0,0,0,0,0,1000,20.000
5,circuit_breaker,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
5,circuit_breaker,pattern-shift-h14,90,0.9889,6,22,68,0,0,0,0,0,89,21.444
5,circuit_breaker,pattern-shift-h15,90,1.0000,4,1,89,0,0,0,0,0,90,20.056
5,predictive,morning-healthy,100,1.0000,3,16,84,81,81,1,2,80,19,4.600
5,predictive,bad-window,100,1.0000,1,0,100,99,99,0,4,98,1,0.200
5,predictive,evening-stable,80,1.0000,4,35,45,41,41,1,2,41,39,11.938
5,predictive,window-start,181,1.0000,0,0,181,181,181,0,0,181,0,0.000
5,predictive,reuse-off,1000,1.0000,12,988,12,0,0,1,0,8,1000,20.000
5,predictive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
